country,count
United States,65
Italy,57
United States,,51
Canada,45
Germany,33
Australia,20
United Kingdom,,19
France,19
Netherlands,18
Switzerland,18
United Kingdom,17
Spain,16
Israel,16
Denmark,14
Japan,11
China,11
Norway,11
Brazil,10
Argentina,10
New Zealand,10
Sweden,10
Korea, Republic of,,9
India,9
Jordan,9
Portugal,8
Austria,8
Turkey,8
Belgium,8
Czech Republic,,8
New Zealand,,8
United States.,7
Greece,7
Jersey,7
Finland,7
Russian Federation,,6
Iran, Islamic Republic of,,6
Mexico,6
Monaco,5
Korea, Republic of,5
Georgia,5
Poland,5
Chile,4
Iran, Islamic Republic of,4
Puerto Rico,4
Russian Federation,4
Czech Republic,4
United Kingdom.,4
United States;,3
American Samoa,,3
Algeria,3
Czech Republic;,3
Thailand,3
Ireland,3
Serbia,3
Uruguay,3
Moldova, Republic of,,3
Iraq,2
Puerto Rico,,2
Hungary,2
Ukraine,2
Afghanistan,2
Singapore,2
Egypt,2
Russian Federation;,2
Slovakia,2
Nigeria,2
Croatia,2
San Marino,2
United Kingdom;,2
Paraguay,1
Oman,1
Iceland,1
Latvia,1
Hong Kong,,1
Czech Republic.,1
Bermuda,1
Hong Kong,1
Chad,1
Madagascar,1
Costa Rica,,1
Costa Rica,1
Cape Verde,1
Tunisia,1
Romania,1
South Africa,,1
Niger,1
Puerto Rico;,1
Dominican Republic,1
Estonia,1
